epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,103.77,0.87439,1.07454,1.14667,0.58326,0.77145,0.79771,0.58393,1.16413,1.38795,1.43025,0.000294061,0.000294061,0.000294061
43,105.953,0.90068,1.13276,1.16661,0.72345,0.74736,0.80425,0.62688,1.1544,1.31711,1.45578,0.000279063,0.000279063,0.000279063
44,108.106,0.85224,1.05712,1.14844,0.82721,0.7183,0.81308,0.59426,1.19305,1.30101,1.47158,0.000264064,0.000264064,0.000264064
45,110.905,0.85079,1.0054,1.11909,0.81639,0.73817,0.81547,0.57668,1.20734,1.30121,1.47239,0.000249066,0.000249066,0.000249066
46,113.399,0.81663,1.00698,1.09858,0.86962,0.72997,0.8165,0.58296,1.22717,1.21455,1.51127,0.000234068,0.000234068,0.000234068
47,115.671,0.81534,0.98586,1.11068,0.86344,0.72345,0.82111,0.60629,1.19449,1.14289,1.52561,0.000219069,0.000219069,0.000219069
48,117.727,0.86179,0.99931,1.12198,0.82462,0.74058,0.8232,0.59553,1.21117,1.15957,1.53118,0.00020407,0.00020407,0.00020407
49,119.662,0.81194,1.01717,1.10564,0.90658,0.68939,0.8212,0.59644,1.2341,1.16652,1.52562,0.000189072,0.000189072,0.000189072
50,121.966,0.82443,0.99957,1.14164,0.87919,0.68939,0.82207,0.57315,1.24637,1.20192,1.52161,0.000174074,0.000174074,0.000174074
51,129.79,0.76135,1.13361,1.07995,0.89291,0.69602,0.8227,0.59653,1.25764,1.19931,1.51809,0.000159075,0.000159075,0.000159075
52,133.617,0.71939,1.02492,1.07278,0.90763,0.68633,0.81628,0.58021,1.2064,1.22678,1.45942,0.000144077,0.000144077,0.000144077
53,137.09,0.71341,1.04836,1.08556,0.89105,0.70824,0.81763,0.59015,1.19132,1.24193,1.43382,0.000129078,0.000129078,0.000129078
54,139.543,0.67332,0.95956,1.03846,0.79758,0.73038,0.82052,0.62557,1.18642,1.2902,1.41077,0.00011408,0.00011408,0.00011408
55,142.009,0.70049,1.02409,1.05713,0.70294,0.80454,0.82498,0.62227,1.1535,1.2495,1.40098,9.9081e-05,9.9081e-05,9.9081e-05
56,144.037,0.65445,1.00179,1.02544,0.68204,0.83608,0.82232,0.61925,1.12346,1.19478,1.39504,8.40825e-05,8.40825e-05,8.40825e-05
57,146.118,0.70571,1.00341,1.05007,0.68156,0.81567,0.8182,0.62048,1.12283,1.17927,1.40609,6.9084e-05,6.9084e-05,6.9084e-05
58,148.308,0.64218,0.94068,1.00866,0.76876,0.78422,0.81798,0.66483,1.11269,1.16163,1.39918,5.40855e-05,5.40855e-05,5.40855e-05
59,151.215,0.65479,0.9213,1.00414,0.83218,0.74006,0.8198,0.66163,1.11477,1.13128,1.4062,3.9087e-05,3.9087e-05,3.9087e-05
60,153.356,0.6751,0.95005,1.04551,0.88773,0.74613,0.81966,0.65881,1.12326,1.12174,1.41659,2.40885e-05,2.40885e-05,2.40885e-05
